Плагиат;Длина документа;Цитируемость;Документ
0;19796;89; Кубанова А.А., Лесная И.Н., Kubanov A.A., Мелехина Л.Е., Каспирович М.А. АНАЛИЗ ЭПИДЕМИОЛОГИЧЕСКОЙ СИТУАЦИИ и ДИНАМИКА ЗАБОЛЕВАЕМОСТИ ИНФЕКЦИЯМИ, ПЕРЕДАВАЕМЫМИ ПОЛОВЫМ ПУТЕМ, и ДЕРМАТОЗАМИ на ТЕРРИТОРИИ РОССИЙСКОЙ ФЕДЕРАЦИИ. Вестник дерматологии и венерологии.  2010. № 5.  С. 4-21
6600;38783;89; Локшина А.Б., Захаров В.В. ЛЕГКИЕ И УМЕРЕННЫЕ КОГНИТИВНЫЕ РАССТРОЙСТВА ПРИ ДИСЦИРКУЛЯТОРНОЙ ЭНЦЕФАЛОПАТИИ. Неврологический журнал.  2006. Т. 11. № S1.  С. 57-64
0;13870;89; Калашников В., Амерханов Х., Левахин В. МЯСНОЕ СКОТОВОДСТВО: СОСТОЯНИЕ, ПРОБЛЕМЫ И ПЕРСПЕКТИВЫ РАЗВИТИЯ. Молочное и мясное скотоводство.  2010. № 1.  С. 2-5
0;13720;89; Рязанцев И., Еременко Н. Проблемы и противоречия оборота земель сельскохозяйственного назначения на региональном уровне. Предпринимательство.  2009. № 4.  С. 149-153
0;34038;89; Журавлев А.Л. Коллективный субъект: основные признаки, уровни и психологические типы. Психологический журнал.  2009. Т. 30. № 5.  С. 72-80
0;43512;89; Перегудов С.П. ПОЛИТИЧЕСКОЕ ПРЕДСТАВИТЕЛЬСТВО ИНТЕРЕСОВ: ОПЫТ ЗАПАДА И ПРОБЛЕМЫ РОССИИ. Полис. Политические исследования.  1993. № 4.  С. 115-124
0;168617;89; Валиев К.А. Квантовые компьютеры и квантовые вычисления. Успехи физических наук.  2005. Т. 175. № 1.  С. 3-39
0;87464;89; Агранович В.М., Гартштейн Ю.Н. Пространственная дисперсия и отрицательное преломление света. Успехи физических наук.  2006. Т. 176. № 10.  С. 1051-1068
0;14065;89; Авилова И.П., Рыкова М.А., Хай Д.З. МОДИФИКАЦИЯ ПОКАЗАТЕЛЕЙ ЭКОНОМИЧЕСКОЙ ЭФФЕКТИВНОСТИ ИНВЕСТИЦИОННО-СТРОИТЕЛЬНОГО ПРОЕКТА С ИСПОЛЬЗОВАНИЕМ ПРОФИЛЕЙ РИСКА НЕПОЛУЧЕНИЯ ДОХОДОВ ПРОЕКТА. Вестник Белгородского государственного технологического университета им. В.Г. Шухова.  2014. № 4.  С. 133-137
0;2162;89; Хасанов Р.Х. Синергетический эффект кластера. Проблемы современной экономики.  2009. № 3.  С. 284-288
863;6149;89; Соболев В.С., Степанов С.А. Концепция, модель и критерии эффективности внутривузовской системы управления качеством высшего профессионального образования. Университетское управление: практика и анализ.  2004. № 2.  С. 102-110
0;43315;88; Хуторской А.В. Личностная ориентация образования как педагогическая инновация. Школьные технологии.  2006. № 1.  С. 3-12
0;23384;88; Беспахотный Г. Новые механизмы приоритетного развития сельского хозяйства. Экономист.  2008. № 7.  С. 90-96
0;23940;88; Чистякова С.Н. Проблема самоопределения старшеклассников при выборе профиля обучения. Педагогика.  2005. № 1.  С. 19-26
0;74213;88; Рыбаков С.Е. ЭТНИЧНОСТЬ И ЭТНОС. Этнографическое обозрение.  2003. № 3.  С. 3-24
2118;51014;88; Глазьев С. Перспективы российской экономики в условиях глобальной конкуренции. Экономист.  2007. № 5.  С. 3-16
0;26357;88; Витковский Ю.А., Кузник Б.И., Солпов А.В. ПАТОГЕНЕТИЧЕСКОЕ ЗНАЧЕНИЕ ЛИМФОЦИТАРНО-ТРОМБОЦИТАРНОЙ АДГЕЗИИ. Медицинская иммунология.  2006. Т. 8. № 5-6.  С. 745-753
0;26484;88; Чебышев Н., Каган В. Высшая школа XXI века: проблема качества. Высшее образование в России.  2000. № 1.  С. 19-26
7130;12781;88; Захарцев С.И. КОРРУПЦИЯ И ДЕНЬГИ: К ВОПРОСУ ПРИМЕНЕНИЯ ОПЕРАТИВНО-РОЗЫСКНЫХ МЕРОПРИЯТИЙ. Юридическая наука: история и современность.  2013. № 10.  С. 137-141
0;3302;88; Оганов Р.Г. Профилактика сердечно-сосудистых заболеваний в России: успехи, неудачи, перспективы. Терапевтический архив.  2004. Т. 76. № 6.  С. 22-24
0;9129;88; Каблов Е.Н., Оспенникова О.Г., Базылева О.А. Материалы для высокотеплонагруженных деталей газотурбинных двигателей. Вестник Московского государственного технического университета им. Н.Э. Баумана. Серия: Машиностроение.  2011. № SP2.  С. 13-19
0;11765;87; Ушачев И.Г. ЭКОНОМИЧЕСКИЙ РОСТ И КОНКУРЕНТОСПОСОБНОСТЬ СЕЛЬСКОГО ХОЗЯЙСТВА РОССИИ. Экономика сельскохозяйственных и перерабатывающих предприятий.  2009. № 3.  С. 1-9
0;20701;87; Савиных В.П., Соловьёв И.В., Цветков В.Я. РАЗВИТИЕ НАЦИОНАЛЬНОЙ ИНФРАСТРУКТУРЫ ПРОСТРАНСТВЕННЫХ ДАННЫХ НА ОСНОВЕ РАЗВИТИЯ КАРТОГРАФО-ГЕОДЕЗИЧЕСКОГО ФОНДА РОССИЙСКОЙ ФЕДЕРАЦИИ. Известия высших учебных заведений. Геодезия и аэрофотосъемка.  2011. № 5.  С. 85-90
0;160563;87; Храпковский Г.М., Шамов А.Г., Николаева Е.В., Чачков Д.В. Механизмы газофазного распада C-нитросоединений по результатам квантово-химических расчетов. Успехи химии.  2009. Т. 78. № 10.  С. 980-1021
0;29037;87; Гавров С.Н., Никандров Н.Д. Образование в процессе социализации личности. Вестник Университета Российской академии образования.  2008. № 5.  С. 21-29
0;31231;87; Соловьев А.И. Политический дискурс медиакратий: проблемы информационной эпохи. Полис. Политические исследования.  2004. № 2.  С. 124-132
0;38873;87; Лякишев Н.П., Алымов М.И. Наноматериалы конструкционного назначения. Российские нанотехнологии.  2006. Т. 1. № 1-2.  С. 71-81
5339;18105;87; Фролова О.Г., Токова З.З. ОСНОВНЫЕ ПОКАЗАТЕЛИ ДЕЯТЕЛЬНОСТИ АКУШЕРСКО-ГИНЕКОЛОГИЧЕСКОЙ СЛУЖБЫ И РЕПРОДУКТИВНОГО ЗДОРОВЬЯ. Акушерство и гинекология.  2005. № 1.  С. 3-6
0;25334;87; Муромцев Г.И. Источники права (теоретические аспекты проблемы). Известия высших учебных заведений. Правоведение.  1992. № 2.  С. 23-30
0;20766;87; Кутафина Н.В., Завалишина С.Ю. Механизмы функционирования сосудисто-тромбоцитарного гемостаза. Вестник Российского университета дружбы народов. Серия: Экология и безопасность жизнедеятельности.  2012. № 1.  С. 30-37
0;30081;87; Сальников М.В., Курзенин Э.Б. Интеллектуальная гуманистическая политико-правовая традиция в Европе XV-XVII вв. Юридическая наука: история и современность.  2013. № 12.  С. 117-124
0;18751;87; Исмагилов Р.Ф. ДЕЛОВОЙ КЛИМАТ В РОССИИ: СЕГОДНЯШНЕЕ СОСТОЯНИЕ И ПЕРСПЕКТИВЫ РАЗВИТИЯ (ПОЛИТИКО-ПРАВОВОЙ И ЭКОНОМИЧЕСКИЙ АНАЛИЗ). Правовое поле современной экономики.  2013. № 9.  С. 11-19
0;48759;87; Хасанов В.В., Рыжова Г.Л., Мальцева Е.В. Методы исследования антиоксидантов. Химия растительного сырья.  2004. № 3.  С. 63-75
0;33059;87; Байденко В.И. Новые стандарты высшего образования: методологические аспекты. Высшее образование сегодня.  2007. № 5.  С. 4-9
0;62849;87; Песков Д.Н. ИНТЕРНЕТ В РОССИЙСКОЙ ПОЛИТИКЕ: УТОПИЯ И РЕАЛЬНОСТЬ. Полис. Политические исследования.  2002. № 1.  С. 31-45
0;51327;87; Малинова О.Ю. Идеологический плюрализм и трансформация публичной сферы в постсоветской России. Полис. Политические исследования.  2007. № 1.  С. 6-21
0;55087;87; Паппэ Я.Ш. РОССИЙСКИЙ КРУПНЫЙ БИЗНЕС КАК ЭКОНОМИЧЕСКИЙ ФЕНОМЕН: СПЕЦИФИЧЕСКИЕ ЧЕРТЫ, МОДЕЛИ ЕГО ОРГАНИЗАЦИИ. Проблемы прогнозирования.  2002. № 2.  С. 83-97
13746;203825;87; Третьяков Ю.Д., Лукашин А.В., Елисеев А.А. Cинтез функциональных нанокомпозитов на основе твердофазных нанореакторов. Успехи химии.  2004. Т. 73. № 9.  С. 974-998
0;48842;87; Аронов Д.М. Каскад терапевтических эффектов статинов. Кардиология.  2004. Т. 44. № 10.  С. 85-94
0;35181;87; Глебова И.И. Политическая культура современной России: облики новой русской власти и социальные расколы. Полис. Политические исследования.  2006. № 1.  С. 33-44
15398;26443;87; Кореневский Н.А., Крупчатников Р.А., Горбатенко С.А. Синтез нечетких сетевых моделей, обучаемых по структуре данных для медицинских экспертных систем. Медицинская техника.  2008. № 2.  С. 18-23
0;8628;87; Трушина В.П., Пятницев Д.В. МОБИЛЬНОЕ ПРИЛОЖЕНИЕ ДЛЯ РЕАЛИЗАЦИИ МЕТОДОВ АНАЛИЗА АССОЦИАЦИЙ. Science Time.  2015. № 5 (17).  С. 463-469
0;8120;87; Бондур В.Г., Аржененко Н.И., Линник В.Н., Титова И.Л. Моделирование многоспектральных аэрокосмических изображений динамических полей яркости. Исследование Земли из космоса.  2003. № 2.  С. 1-17
0;5576;87; Абакумов Р.Г. ТЕОРЕТИЧЕСКИЕ ОСНОВЫ ВОСПРОИЗВОДСТВА ОСНОВНЫХ СРЕДСТВ ОРГАНИЗАЦИИ. Вестник Белгородского государственного технологического университета им. В.Г. Шухова.  2014. № 3.  С. 81-83
0;27455;86; Бондаревская Е.В. Парадигма как методологический регулятив педагогической науки и инновационной практики. Педагогика.  2007. № 6.  С. 1-11
0;12095;86; Клычова Г.С., Закирова А.Р. МЕТОДИКА ФОРМИРОВАНИЯ ВНУТРЕННЕЙ УПРАВЛЕНЧЕСКОЙ ОТЧЕТНОСТИ В СЕЛЬСКОХОЗЯЙСТВЕННОЙ ОРГАНИЗАЦИИ. Вестник Казанского государственного аграрного университета.  2011. Т. 6. № 1 (19).  С. 44-48
0;19504;86; Грудцына Л.Ю. СВОБОДА И ГРАЖДАНСКОЕ ОБЩЕСТВО. Образование и право.  2011. № 1.  С. 22-30
0;285355;86; Ролдугин В.И. Самоорганизация наночастиц на межфазных поверхностях. Успехи химии.  2004. Т. 73. № 2.  С. 123-156
0;52504;86; Поцелуев С.П. СИМВОЛИЧЕСКАЯ ПОЛИТИКА: КОНСТЕЛЛЯЦИЯ ПОНЯТИЙ ДЛЯ ПОДХОДА К ПРОБЛЕМЕ. Полис. Политические исследования.  1999. № 5.  С. 62-75
0;27395;86; Сериков В.В. Природа педагогической деятельности и особенности профессионального образования педагога. Педагогика.  2010. № 5.  С. 29-36
0;13520;86; Ушачев И. Интеграционные процессы в АПК: плюсы и минусы. АПК: Экономика, управление.  2006. № 9.  С. 7-10
0;33177;86; Липинский Д.А. О системе права и видах юридической ответственности. Известия высших учебных заведений. Правоведение.  2003. № 2 (247).  С. 27-37
0;95331;86; Хоружий С.С. Человек и его три дальних удела. Новая антропология на базе древнего опыта. Вопросы философии.  2003. № 1.  С. 38-62
0;18061;86; Шальнова С.А., Деев А.Д. Тенденции смертности в России в начале XXI века (по данным официальной статистики). Кардиоваскулярная терапия и профилактика.  2011. Т. 10. № 6.  С. 5-10
3201;33637;86; Бондарь Н.С. Нормативно-доктринальная природа решений Конституционного Суда РФ как источников права. Журнал российского права.  2007. № 4 (124).  С. 75-85
1208;43207;86; Тихомиров Ю.А., Трикоз Е.Н. Право против коррупции. Журнал российского права.  2007. № 5 (125).  С. 39-52
0;19996;86; Колесов В. Рынок образовательных услуг и ценности образования (Между ВТО и Болонским процессом). Высшее образование в России.  2006. № 2.  С. 3-8
0;33952;86; Бондур В.Г., Чимитдоржиев Т.Н. Дистанционное зондирование растительности оптико-микроволновыми методами. Известия высших учебных заведений. Геодезия и аэрофотосъемка.  2008. № 6.  С. 64-73
0;76933;86; Гельман В.Я. ПОСТСОВЕТСКИЕ ПОЛИТИЧЕСКИЕ ТРАНСФОРМАЦИИ. Полис. Политические исследования.  2001. № 1.  С. 15-29
6385;41697;86; Козырева П.М. МЕЖЛИЧНОСТНОЕ ДОВЕРИЕ В КОНТЕКСТЕ ФОРМИРОВАНИЯ СОЦИАЛЬНОГО КАПИТАЛА. Социологические исследования.  2009. № 1.  С. 43-54
0;22802;85; Зелинская М.В., Чернявская С.А. РЕСУРСЫ АКТИВИЗАЦИИ РАЗВИТИЯ РЕГИОНАЛЬНОЙ ЭКОНОМИЧЕСКОЙ СИСТЕМЫ. Бизнес в законе. Экономико-юридический журнал.  2010. № 1.  С. 224-227
0;21928;85; Солганик Г.Я. К определению понятий текст и медиатекст. Вестник Московского университета. Серия 10: Журналистика.  2005. № 2.  С. 7-16
0;23492;85; Великий Д.П. Досудебное соглашение о сотрудничестве в российском уголовном процессе. Журнал российского права.  2010. № 2 (158).  С. 84-90
0;23720;85; Полтерович В.М. О СТРАТЕГИИ ДОГОНЯЮЩЕГО РАЗВИТИЯ ДЛЯ РОССИИ. Экономическая наука современной России.  2007. № 3.  С. 17-23
0;43923;85; Епимахов А.В., Хэнкс Б., Ренфрю К. РАДИОУГЛЕРОДНАЯ ХРОНОЛОГИЯ ПАМЯТНИКОВ БРОНЗОВОГО ВЕКА ЗАУРАЛЬЯ. Российская археология.  2005. № 4.  С. 92-102
0;47756;85; Овчинников В.В. Радиационно-динамические эффекты. Возможности формирования уникальных структурных состояний и свойств конденсированных сред. Успехи физических наук.  2008. Т. 178. № 9.  С. 991-1001
0;27876;85; Яременко Ю.В. ЭКОНОМИЧЕСКИЙ РОСТ. СТРУКТУРНАЯ ПОЛИТИКА. Проблемы прогнозирования.  2001. № 1.  С. 6-14
0;26844;85; Писляков В.В. МЕТОДЫ ОЦЕНКИ НАУЧНОГО ЗНАНИЯ ПО ПОКАЗАТЕЛЯМ ЦИТИРОВАНИЯ. Социологический журнал.  2007. № 1.  С. 128-140
5805;45744;85; Васильева М.В. МАКРОУРОВНЕВЫЕ ПАРАМЕТРЫ И ОРИЕНТИРЫ РЕАЛИЗАЦИИ КОНЦЕПЦИИ СОЦИАЛЬНО-ЭКОНОМИЧЕСКОГО РАЗВИТИЯ РОССИИ. Национальные интересы: приоритеты и безопасность.  2009. № 17.  С. 20-30
0;28986;85; Милосердов В.В. ПРИОРИТЕТНЫЙ НАЦИОНАЛЬНЫЙ ПРОЕКТ «РАЗВИТИЕ АПК»: ПРОБЛЕМЫ И ПУТИ ИХ РЕШЕНИЯ. Экономика сельскохозяйственных и перерабатывающих предприятий.  2006. № 2.  С. 5-9
1561;18491;85; Шмелев Е.И. Хроническая обструктивная болезнь легких и сопутствующие заболевания. Пульмонология.  2007. № 2.  С. 1-10
1953;17477;85; Покровский М.В., Кочкаров В.И., Покровская Т.Г., Гладченко М.П., Артюшкова Е.Б., Пашин Е.Н., Брусник М.В., Чулюкова Т.Н., Клявс Ю.П., Корнеев М.М., Зеленкова Т.И., Малыхин В.А., Белоус А.С., Залозных Я.И., Маяков А.И. Методические подходы для количественной оценки развития эндотелиальной дисфункции при L-NAME- индуцированной модели дефицита оксида азота в эксперименте. Кубанский научный медицинский вестник.  2006. № 10.  С. 72-77
4975;12166;85; Измеров Н.Ф. Национальная система медицины труда как основа сохранения здоровья работающего населения России. Здравоохранение Российской Федерации.  2008. № 1.  С. 7-8
0;57087;84; Акаев А. О стратегии интегрированной модернизации экономики России до 2025 года. Вопросы экономики.  2012. № 4.  С. 97-116
0;16049;84; Метаева В.А. Рефлексия как метакомпетентность. Педагогика.  2006. № 3.  С. 57-61
0;88369;84; Бехман Г. Современное общество как общество риска. Вопросы философии.  2007. № 1.  С. 26-46
0;18283;84; Гальскова Н.Д. Образование в области иностранных языков: новые вызовы и приоритеты. Иностранные языки в школе.  2008. № 5.  С. 2-7
0;76076;84; Гордиенко И.В. Геодинамическая эволюция поздних байкалид и палеозоид складчатого обрамления юга Сибирской платформы. Геология и геофизика.  2006. № 1.  С. 53-70
0;52143;84; Римашевская Н.М. КАЧЕСТВЕННЫЙ ПОТЕНЦИАЛ НАСЕЛЕНИЯ РОССИИ: ВЗГЛЯД В XXI ВЕК. Проблемы прогнозирования.  2001. № 3.  С. 34-48
34491;39258;84; Исмагилов Р.Ф., Сальников С.П., Гер О.Е., Кайзер А.Г. Свобода выбора пути развития экономики как непознанная государственная необходимость. Правовое поле современной экономики.  2013. № 10.  С. 11-26
0;33846;84; Краснов М.А., Талапина Э.В., Южаков В.Н. Коррупция и законодательство: анализ закона на коррупциогенность. Журнал российского права.  2005. № 2 (98).  С. 77-88
0;52755;84; Каплунов А.И. О классификации мер государственного принуждения. Государство и право.  2006. № 3.  С. 5-13
17146;37331;84; Ушачев И. Производительность и мотивация труда - важнейшие факторы экономического развития сельского хозяйства. АПК: Экономика, управление.  2008. № 1.  С. 1-11
0;34692;84; Вахрушина М.А. Проблемы и перспективы развития российского управленческого учета. Международный бухгалтерский учет.  2014. № 33.  С. 12-23
0;61589;84; Аузан А., Тамбовцев В. Экономическое значение гражданского общества. Вопросы экономики.  2005. № 5.  С. 28-49
6279;11410;84; Авдеева В.М., Кравец О.Я. Теоретические основы прогнозирования налоговых поступлений на основе кросскорреляционного анализа многомерных временных рядов. Системы управления и информационные технологии.  2006. Т. 23. № 1.2.  С. 212-216
0;38428;84; Мансуров В.А., Юрченко О.В. Социология профессий. История, методология и практика исследований. Социологические исследования.  2009. № 8.  С. 36-45
0;8760;84; Щетинин В.П. Человеческий и вещественный капитал: общность и различие. Мировая экономика и международные отношения.  2003. № 8.  С. 55-61
0;2811;84; Кожухарь Г.С. ПРОБЛЕМА ТОЛЕРАНТНОСТИ В МЕЖЛИЧНОСТНОМ ОБЩЕНИИ. Вопросы психологии.  2006. № 2.  С. 3-12
0;3256;84; Зиновкина М.М. Многоуровневое непрерывное креативное образование в школе. Научно-методический электронный журнал Концепт.  2012. № 9.  С. 17-31
0;9800;84; Лиханов В.А., Лопатин О.П. Улучшение экологических показателей дизеля 4Ч 11,0/12,5 путем применения природного газа и рециркуляции. Транспорт на альтернативном топливе.  2014. № 4 (40).  С. 21-25
0;14004;83; Асаул А.Н. ПОДГОТОВКА ИНЖЕНЕРОВ-МЕНЕДЖЕРОВ ПО УПРАВЛЕНИЮ ИННОВАЦИЯМИ ― ЗАЛОГ УСПЕШНОГО РАЗВИТИЯ КОМПАНИИ. Экономическое возрождение России.  2009. № 1.  С. 3-7
0;46077;83; Семенова Е. Возможности инновационного типа развития. Экономист.  2006. № 3.  С. 14-27
0;23323;83; Жданов П.С., Романовская В.Б. О морали, нравственности и законе в работах русских религиозных философов конца XIX - начала XX вв. Мир политики и социологии.  2013. № 11.  С. 28-35
0;43008;83; Третьяк О.А. ЭВОЛЮЦИЯ МАРКЕТИНГА: ЭТАПЫ, ПРИОРИТЕТЫ, КОНЦЕПТУАЛЬНАЯ БАЗА, ДОМИНИРУЮЩАЯ ЛОГИКА. Российский журнал менеджмента.  2006. Т. 4. № 2.  С. 129-144
433;10394;83; Каблов Е.Н., Старцев О.В., Кротов А.С., Кириллов В.Н. Климатическое старение композиционных материалов авиационного назначения. I. Механизмы старения. Деформация и разрушение материалов.  2010. № 11.  С. 19-27
0;40973;83; Ярилин А.А., Никонова М.Ф., Ярилина А.А., Варфоломеева М.И., Григорьева Т.Ю. АПОПТОЗ, РОЛЬ В ПАТОЛОГИИ И ЗНАЧИМОСТЬ ЕГО ОЦЕНКИ ПРИ КЛИНИКО-ИММУНОЛОГИЧЕСКОМ ОБСЛЕДОВАНИИ БОЛЬНЫХ. Медицинская иммунология.  2000. Т. 2. № 1.  С. 7-16
870;34689;83; Баринов В.А., Жмуров Д.А. Развитие сетевых формирований в инновационной экономике. Менеджмент в России и за рубежом.  2007. № 1.  С. 20-31
0;17571;83; Верховодов Е.В., Сальников В.П., Романовская В.Б. «Естественное право» и «добродетель» в трудах Аристотеля. Юридическая наука: история и современность.  2015. № 8.  С. 201-208
0;27312;83; Хохлов А., Стронгин Р., Грудзинский А. Проектно- ориентированный университет. Высшее образование в России.  2002. № 2.  С. 3-11
0;38800;83; Торшин И.Ю., Громова О.А. Дисплазия соединительной ткани, клеточная биология и молекулярные механизмы воздействия магния. Русский медицинский журнал.  2008. Т. 16. № 4.  С. 230-238
7540;40724;83; Новиков В.В., Барышников А.Ю., Караулов А.В. РАСТВОРИМЫЕ ФОРМЫ МЕМБРАННЫХ АНТИГЕНОВ КЛЕТОК ИММУННОЙ СИСТЕМЫ. Иммунология.  2007. Т. 28. № 4.  С. 249-254
0;33292;83; Эрлих А.Д., Грацианский Н.А. Регистр острых коронарных синдромов РЕКОРД. Характеристика больных и лечение до выписки из стационара. Кардиология.  2009. Т. 49. № 7-8.  С. 4-12
0;96564;83; Саква Р. РЕЖИМНАЯ СИСТЕМА И ГРАЖДАНСКОЕ ОБЩЕСТВО В РОССИИ. Полис. Политические исследования.  1997. № 1.  С. 61-82
0;58798;83; Ивантер В.В., Говтвань О.Д., Ксенофонтов М.Ю., Панфилов В.С., Узяков М.Н. Экономика роста (Концепция развития России в среднесрочной перспективе). Проблемы прогнозирования.  2000. № 1.  С. 1-20
0;36626;83; Марченко М.Н. Государственный суверенитет: проблемы определения понятия и содержания. Известия высших учебных заведений. Правоведение.  2003. № 1 (246).  С. 186-197
0;98368;83; Бухвалов А.В. РЕАЛЬНЫЕ ОПЦИОНЫ В МЕНЕДЖМЕНТЕ: ВВЕДЕНИЕ В ПРОБЛЕМУ. Российский журнал менеджмента.  2004. Т. 2. № 1.  С. 3-32
0;2433;83; Увайсов С.У., Иванов И.А., Кошелев Н.А. Методика обеспечения диагностируемости электронных средств космических аппаратов по ранговому критерию на ранних этапах проектирования. Качество. Инновации. Образование.  2012. № 1 (80).  С. 60-63
151;2493;83; Каблов Е.Н., Мубояджян С.А. Жаростойкие и теплозащитные покрытия для лопаток турбины высокого давления перспективных ГТД. Авиационные материалы и технологии.  2012. № S.  С. 60-70
1204;3261;83; Скрябин М.Л. Особенности горения капли дизельного топлива в турбулентном потоке метано-воздушной смеси в цилиндре газодизеля. Современная наука: актуальные проблемы и пути их решения.  2015. № 4 (17).  С. 56-59
0;2887;83; Шинкин В.Н. ПРОИЗВОДСТВО ТРУБ БОЛЬШОГО ДИАМЕТРА ПО СХЕМЕ JCOE ФИРМЫ SMS MEER ДЛЯ МАГИСТРАЛЬНЫХ ТРУБОПРОВОДОВ. Актуальные проблемы гуманитарных и естественных наук.  2015. № 3-1.  С. 64-68
157;4122;83; Осипов А.Л., Бобров Л.К. Об использовании моделей статистического распознавания в системе виртуального скрининга химических веществ. Научно-техническая информация. Серия 2: Информационные процессы и системы.  2012. № 7.  С. 1-6
0;58015;82; Исмагилов Р.Ф., Сальников В.П., Гер О.Е., Кайзер А.Г. Экономическая амнистия - иллюзия и реальность. Юридическая наука: история и современность.  2013. № 10.  С. 97-113
0;72047;82; Радыгин А., Энтов Р. Институциональные компоненты экономического роста. Вопросы экономики.  2005. № 11.  С. 14-38
0;58420;82; Федотова В.Г. Апатия на Западе и в России. Вопросы философии.  2005. № 3.  С. 3-19
0;34942;82; Ильин М.В., Коваль Б.И. ДВЕ СТОРОНЫ ОДНОЙ МЕДАЛИ: ГРАЖДАНСКОЕ ОБЩЕСТВО И ГОСУДАРСТВО. Полис. Политические исследования.  1992. № 1-2.  С. 193-201
1207;33071;82; Никандров Н.Д. Духовные ценности и воспитание в современной России. Педагогика.  2008. № 9.  С. 3-12
0;35552;82; Экимов А.И. ТЕОРИЯ И ИСТОРИЯ ПРАВА И ГОСУДАРСТВА. ИСТОРИЯ УЧЕНИЙ О ПРАВЕ И ГОСУДАРСТВЕ. Юридическая наука: история и современность.  2015. № 1.  С. 13-22
0;58409;82; Скулачев В.П. Попытка биохимиков атаковать проблему старения: мегапроект по проникающим ионам. Первые итоги и перспективы (обзор). Биохимия.  2007. Т. 72. № 12.  С. 1700-1714
6470;29251;82; Попов Е., Симонова В. Эндогенный оппортунизм в теории принципала-агента. Вопросы экономики.  2005. № 3.  С. 118-130
0;10226;82; Былов В.Г. 99.02.045. ГЕРАСИМЕНКО И.А, ХАЧАТРЯН С.Р. ВОСПРОИЗВОДСТВО НАСЕЛЕНИЯ И СОЦИАЛЬНАЯ ИНФРАСТРУКТУРА В СУБЪЕКТАХ РОССИЙСКОЙ ФЕДЕРАЦИИ: ДИНАМИКА И ДИФФЕРЕНЦИАЦИЯ М.: ЦЭМИ РАН, 1997. 84 с. Социальные и гуманитарные науки. Отечественная и зарубежная литература. Серия 2: Экономика. Реферативный журнал.  1999. № 2.  С. 102-106
0;84105;82; Немухин А.В., Григоренко Б.Л., Грановский А.А. Молекулярное моделирование с программой PC GAMESS: от двухатомных молекул до ферментов. Вестник Московского университета. Серия 2: Химия.  2004. Т. 45. № 2.  С. 75-102
1646;14842;82; Баранов А.А., Альбицкий В.Ю., Ильин А.Г. О резервах снижения смертности детского населения России. Вопросы современной педиатрии.  2006. Т. 5. № 5.  С. 5-7
6681;61857;82; Тихонова Н.Е. Социокультурная модернизация в России (Опыт эмпирического анализа) Статья 1. Общественные науки и современность.  2008. № 2.  С. 5-23
8421;42318;82; Бендиков М.А., Хрусталёв Е.Ю. Методологические основы исследования механизма инновационного развития в современной экономике. Менеджмент в России и за рубежом.  2007. № 2.  С. 3-14
0;13383;82; Исмагилов Р.Ф. СОСТОЯНИЕ И САМОЧУВСТВИЕ МАЛОГО И СРЕДНЕГО БИЗНЕСА -ВОПРОС НАЦИОНАЛЬНОЙ БЕЗОПАСНОСТИ. Мир политики и социологии.  2013. № 9.  С. 97-102
0;34576;82; Лунеев В.В. Коррупция в России. Государство и право.  2007. № 11.  С. 20-27
0;4167;82; Шинкин В.Н. РАСЧЕТ УСИЛИЙ ТРУБОФОРМОВОЧНОГО ПРЕССА SMS MEER ПРИ ИЗГИБЕ ПЛОСКОЙ ТОЛСТОЙ СТАЛЬНОЙ ЗАГОТОВКИ ПРИ ПРОИЗВОДСТВЕ ТРУБ БОЛЬШОГО ДИАМЕТРА. Актуальные проблемы гуманитарных и естественных наук.  2015. № 6-1.  С. 115-118
0;5836;82; Радаев В.В. НОВЫЙ ИНСТИТУЦИОНАЛЬНЫЙ ПОДХОД: ПОСТРОЕНИЕ ИССЛЕДОВАТЕЛЬСКОЙ СХЕМЫ. Журнал социологии и социальной антропологии.  2001. Т. IV. № 3.  С. 109-130
0;5474;82; Шинкин В.Н. РАСЧЕТ ТЕХНОЛОГИЧЕСКИХ ПАРАМЕТРОВ КРОМКОГИБОЧНОГО ПРЕССА ФИРМЫ SMS MEER. Актуальные проблемы гуманитарных и естественных наук.  2015. № 4-1.  С. 114-119
0;3864;82; Шинкин В.Н. МАТЕМАТИЧЕСКИЙ КРИТЕРИЙ ВОЗНИКНОВЕНИЯ ГОФРА ПРИ ФОРМОВКЕ СТАЛЬНОЙ ЛИСТОВОЙ ЗАГОТОВКИ НА КРОМКОГИБОЧНОМ ПРЕССЕ SMS MEER. Актуальные проблемы гуманитарных и естественных наук.  2015. № 5-1.  С. 96-99
19081;22690;82; Клименко С.Г., Кравец О.Я. ОСОБЕННОСТИ ПОЛУНАТУРНОГО МОДЕЛИРОВАНИЯ ИНФОРМАЦИОННОГО ОБЕСПЕЧЕНИЯ ИНТРАНЕТ-СИСТЕМ УПРАВЛЕНИЯ ДОКУМЕНТООБОРОТОМ СИСТЕМЫ МОНИТОРИНГА КАДРОВОГО ПОТЕНЦИАЛА. Системы управления и информационные технологии.  2009. Т. 37. № 3.  С. 98-104
